skill_name,demand_score,growth_trend,avg_salary_range,top_industries
Python,0.92,High,"₹4-12 LPA","['IT Services','Data Analytics','AI/ML','FinTech']"
JavaScript,0.88,High,"₹3-10 LPA","['Web Development','IT Services','E-commerce','FinTech']"
Data Analysis,0.85,High,"₹4-15 LPA","['Analytics','Consulting','IT Services','Banking']"
Machine Learning,0.90,Very High,"₹6-20 LPA","['AI/ML','Data Science','IT Services','Research']"
SQL,0.80,Stable,"₹3-8 LPA","['IT Services','Banking','E-commerce','Analytics']"
Communication,0.75,Stable,"₹2-6 LPA","['All Industries']"
Leadership,0.70,Stable,"₹5-15 LPA","['Management','Consulting','All Industries']"
Project Management,0.78,High,"₹6-18 LPA","['IT Services','Construction','Consulting','Manufacturing']"
Excel,0.72,Stable,"₹2-5 LPA","['Finance','Operations','All Industries']"
Digital Marketing,0.82,High,"₹3-10 LPA","['Marketing','E-commerce','Media','Advertising']"
Graphic Design,0.68,Moderate,"₹2-8 LPA","['Design','Advertising','Media','E-commerce']"
Accounting,0.65,Stable,"₹2-7 LPA","['Finance','Accounting','All Industries']"
Customer Service,0.60,Stable,"₹2-5 LPA","['Retail','BPO','Hospitality','All Industries']"
Sales,0.70,Stable,"₹2-8 LPA","['Retail','Real Estate','FMCG','All Industries']"
Content Writing,0.64,Moderate,"₹2-6 LPA","['Media','Marketing','Publishing','E-commerce']"
Web Development,0.86,High,"₹3-12 LPA","['IT Services','E-commerce','Startups','FinTech']"
Mobile Development,0.84,High,"₹4-15 LPA","['IT Services','Startups','E-commerce','Gaming']"
Cloud Computing,0.88,Very High,"₹5-18 LPA","['IT Services','Cloud Providers','FinTech','Startups']"
Cybersecurity,0.87,Very High,"₹5-20 LPA","['IT Services','Banking','Government','Consulting']"
UI/UX Design,0.80,High,"₹4-12 LPA","['Design','IT Services','Startups','E-commerce']"
